item_id,restaurant_id,name,price,category,description,availability,preparation_time
1,1,Caesar Salad,9.3,Salad,Breaded chicken in marinara sauce,True,11
2,1,Tomato Pizza,17.16,Burger,Creamy pasta with alfredo sauce,True,21
3,1,Penne Pasta,6.89,Burger,Grilled chicken in tortilla wrap,False,30
4,1,Grilled Chicken,7.24,Soup,Spicy penne pasta with tomato sauce,True,10
5,1,Penne Arrabbiata,8.4,Appetizer,Grilled chicken in tortilla wrap,True,19
6,1,Margherita Pizza,6.19,Pasta,Battered fish served with fries,True,15
7,1,Vegetable Stir Fry,13.26,Soup,Vegetable soup with pasta,False,29
8,1,Minestrone Soup,10.01,Pasta,Creamy pasta with alfredo sauce,False,29
9,1,Grilled Salmon,15.49,Pizza,Vegetable soup with pasta,True,26
10,1,Paneer,9.48,Appetizer,Crispy garlic bread,False,16
11,2,Fettuccine Pasta,18.29,Side Dish,Breaded chicken in marinara sauce,True,29
12,2,Cheeseburger,8.45,Wrap,Breaded chicken in marinara sauce,True,28
13,2,Vegetable Stir Fry,5.11,Pizza,Juicy beef patty with cheese,True,29
14,2,Eggplant Curry,15.63,Wrap,Crispy fried chicken,False,15
15,2,Caesar Salad,7.26,Pizza,Battered fish served with fries,False,17
16,2,Margherita Pizza,16.93,Pasta,Creamy pasta with alfredo sauce,True,15
17,2,Fettuccine Alfredo,15.4,Main Course,Crispy fried chicken,False,30
18,2,Chicken Wrap,19.83,Pizza,Spicy penne pasta with tomato sauce,False,23
19,2,Fish and Chips,11.77,Main Course,Fresh mozzarella with basil,True,26
20,2,Eggplant Parmesan,19.22,Burger,Creamy pasta with alfredo sauce,True,13
21,3,Vegetable Lasagna,5.99,Side Dish,Battered fish served with fries,True,20
22,3,Chicken Wrap,13.05,Main Course,Fresh mozzarella with basil,False,18
23,3,Fried Rice,13.14,Taco,Toasted bread with cheese,True,28
24,3,Caesar Chicken,12.59,Soup,Vegetable soup with pasta,True,12
25,3,Fried Chips,15.3,Pizza,Breaded chicken in marinara sauce,True,10
26,3,Chicken Parmesan,16.83,Salad,Toasted bread with cheese,False,23
27,3,Fettuccine Pasta,15.57,Side Dish,Spicy tuna rolls with rice,True,26
28,3,Fried Chicken,15.91,Main Course,Creamy pasta with alfredo sauce,False,12
29,3,Beef Tacos,9.86,Pizza,Crispy fried chicken,True,28
30,3,Vegetable Stir Fry,8.4,Main Course,Layered pasta with tomato sauce,False,22
31,4,Caesar Salad,12.77,Main Course,Crispy fried chicken,True,17
32,4,Spicy Chicken Roll,16.23,Salad,Seasoned beef in tacos,True,28
33,4,Fettuccine Alfredo,6.19,Main Course,Juicy beef patty with cheese,True,20
34,4,Fish and Chips,13.39,Wrap,Grilled chicken in tortilla wrap,False,11
35,4,Grilled Salmon,6.94,Side Dish,Classic pasta with rich sauce,True,16
36,4,Spaghetti Carbonara,13.3,Salad,Crispy fried chicken,False,25
37,4,Spicy Tuna Roll,11.82,Pizza,Grilled salmon with seasoning,True,10
38,4,Penne Arrabbiata,5.07,Taco,Spicy penne pasta with tomato sauce,True,13
39,4,Chicken Parmesan,19.08,Pizza,Crispy garlic bread,False,29
40,4,Vegetable Stir Fry,5.17,Sushi,Breaded chicken in marinara sauce,False,28
41,5,Margherita Pizza,9.84,Side Dish,Traditional pizza with mozzarella,True,15
42,5,Vegetable Lasagna,8.11,Salad,Spicy penne pasta with tomato sauce,False,11
43,5,Spaghetti Carbonara,5.44,Salad,Seasoned beef in tacos,True,25
44,5,Eggplant Parmesan,11.49,Appetizer,Seasoned beef in tacos,True,20
45,5,Chicken Parmesan,5.83,Sushi,Breaded chicken in marinara sauce,True,18
46,5,Garlic Naan,5.64,Sushi,Grilled salmon with seasoning,True,16
47,5,Fish and Chips,7.36,Pizza,Classic pasta with rich sauce,False,23
48,5,Grilled Cheese,9.28,Taco,Fried eggplant with marinara,True,11
49,5,Chicken Salad,7.13,Pizza,Fresh mozzarella with basil,True,21
50,5,Fried Rice,18.73,Wrap,Layered pasta with tomato sauce,False,13
51,6,Fried Chicken,17.65,Sushi,Creamy pasta with alfredo sauce,True,28
52,6,Chicken Salad,8.03,Side Dish,Seasoned beef in tacos,True,26
53,6,Garlic Bread,19.13,Wrap,Spicy penne pasta with tomato sauce,False,25
54,6,Margherita Pizza,13.17,Taco,Grilled salmon with seasoning,False,16
55,6,Vegetable Lasagna,16.12,Salad,Fried eggplant with marinara,True,22
56,6,Minestrone Soup,16.8,Soup,Grilled salmon with seasoning,False,18
57,6,Grilled Salmon,7.03,Side Dish,Toasted bread with cheese,True,18
58,6,Fish Curry,13.48,Sushi,Fried eggplant with marinara,True,30
59,6,Chicken Wrap,18.85,Soup,Crispy garlic bread,True,18
60,6,Fish and Chips,19.95,Salad,Crispy fried chicken,False,10
61,7,Fried Chicken,17.59,Soup,Classic pasta with rich sauce,False,18
62,7,Vegetable Salad,15.05,Taco,Crispy garlic bread,True,22
63,7,Garlic Naan,17.34,Wrap,Grilled chicken in tortilla wrap,True,11
64,7,Garlic Bread,9.29,Main Course,Creamy pasta with alfredo sauce,True,30
65,7,Caprese Salad,12.75,Wrap,Stir-fried vegetables with soy sauce,True,28
66,7,Chicken Parmesan,16.4,Pizza,Seasoned beef in tacos,True,27
67,7,Grilled Salmon,14.3,Wrap,Battered fish served with fries,False,24
68,7,Eggplant Parmesan,15.28,Main Course,Vegetable soup with pasta,False,18
69,7,Cheeseburger,8.15,Wrap,Creamy pasta with alfredo sauce,True,21
70,7,Fettuccine Alfredo,15.72,Sushi,Juicy beef patty with cheese,False,22
71,8,Vegetable Lasagna,19.18,Pasta,Breaded chicken in marinara sauce,False,17
72,8,Chicken Wrap,6.51,Taco,Fresh salad with caesar dressing,True,20
73,8,Spaghetti,11.7,Soup,Spicy tuna rolls with rice,False,26
