feedback_id,user_id,restaurant_id,feedback_text,submitted_on,feedback_type,priority_level,admin_response,response_date,is_resolved
FDBK00001,11813,Chili's_68669,Food quality was not as expected.,2024-05-11,Inquiry,High,We are looking into this issue.,2024-05-11,False
FDBK00002,6925,Chili's_52009,"Great service, but room for improvement.",2020-11-07,Inquiry,Medium,We are looking into this issue.,2022-01-19,False
FDBK00003,6535,Chili's_54419,"The service was too slow, please improve.",2022-05-24,Inquiry,Medium,,2022-05-24,True
FDBK00004,6906,Texas_8427,Food quality was not as expected.,2024-08-17,Suggestion,Low,We are looking into this issue.,2024-08-17,False
FDBK00005,9167,Chipotle_36142,Loved the ambiance and the staff were friendly.,2020-03-29,Suggestion,High,We are looking into this issue.,2021-06-20,True
FDBK00006,5461,Buffalo_2944,"Exceptional experience, highly recommend!",2020-12-06,Suggestion,Medium,We are looking into this issue.,2023-12-18,True
FDBK00007,4036,The_12270,"The service was too slow, please improve.",2022-08-16,Other,Medium,,2022-12-22,False
FDBK00008,4739,Red_55416,"Great service, but room for improvement.",2020-11-28,Complaint,Medium,"Resolved, thank you for reaching out.",2022-06-02,True
FDBK00009,3393,Buffalo_97444,Loved the ambiance and the staff were friendly.,2022-08-10,Praise,Low,Thank you for your feedback.,2022-08-23,True
FDBK00010,8119,Chipotle_32792,Food quality was not as expected.,2024-12-24,Inquiry,Medium,,2024-12-24,False
FDBK00011,7181,Chili's_38309,Loved the ambiance and the staff were friendly.,2020-07-24,Other,High,"Resolved, thank you for reaching out.",2021-09-11,False
FDBK00012,8018,Texas_73807,"Exceptional experience, highly recommend!",2022-11-26,Praise,High,Thank you for your feedback.,2023-01-04,False
FDBK00013,10529,Chipotle_31352,"The service was too slow, please improve.",2020-09-18,Complaint,Low,,2023-03-10,False
FDBK00014,11142,Chili's_74699,Loved the ambiance and the staff were friendly.,2020-01-07,Praise,High,"Resolved, thank you for reaching out.",2024-02-23,True
FDBK00015,2654,Red_39836,"The service was too slow, please improve.",2023-01-21,Complaint,High,,2023-07-25,False
FDBK00016,6035,Chipotle_51532,"Exceptional experience, highly recommend!",2020-08-13,Praise,High,We are looking into this issue.,2020-09-06,False
FDBK00017,7483,Red_29286,Loved the ambiance and the staff were friendly.,2021-08-19,Suggestion,High,"Resolved, thank you for reaching out.",2023-07-10,True
FDBK00018,4809,Chili's_73269,"The service was too slow, please improve.",2021-03-24,Complaint,Low,,2021-06-26,True
FDBK00019,3885,Buffalo_86064,Loved the ambiance and the staff were friendly.,2023-01-17,Complaint,Medium,We are looking into this issue.,2023-01-17,True
FDBK00020,5090,Texas_73937,"Exceptional experience, highly recommend!",2023-07-21,Inquiry,High,We are looking into this issue.,2024-02-01,True
FDBK00021,2707,Buffalo_12654,"Great service, but room for improvement.",2024-08-11,Other,High,We are looking into this issue.,2024-08-11,False
FDBK00022,11563,Chili's_73539,Food quality was not as expected.,2024-02-05,Complaint,High,We are looking into this issue.,2024-02-05,True
FDBK00023,7672,The_97860,"Great service, but room for improvement.",2020-04-14,Other,Low,Thank you for your feedback.,2020-06-04,False
FDBK00024,4437,P.F._62043,"The service was too slow, please improve.",2021-04-10,Inquiry,Low,Thank you for your feedback.,2022-05-19,False
FDBK00025,4775,Chili's_37839,"The service was too slow, please improve.",2021-12-14,Suggestion,Medium,We are looking into this issue.,2023-02-15,True
FDBK00026,4703,Buffalo_32194,Loved the ambiance and the staff were friendly.,2023-04-12,Suggestion,Low,"Resolved, thank you for reaching out.",2024-07-18,True
FDBK00027,10465,Buffalo_91264,Loved the ambiance and the staff were friendly.,2023-06-16,Suggestion,Low,Thank you for your feedback.,2023-06-16,True
FDBK00028,7997,Outback_26965,"Great service, but room for improvement.",2024-11-17,Suggestion,Low,"Resolved, thank you for reaching out.",2024-11-17,False
FDBK00029,3625,Chili's_43209,"Exceptional experience, highly recommend!",2024-08-02,Inquiry,High,,2024-11-26,False
FDBK00030,11561,Texas_20427,"Great service, but room for improvement.",2023-10-28,Inquiry,Medium,"Resolved, thank you for reaching out.",2023-10-28,True
FDBK00031,3079,Panera_89648,"The service was too slow, please improve.",2020-09-06,Suggestion,Medium,,2021-11-13,True
FDBK00032,9970,Texas_82587,Loved the ambiance and the staff were friendly.,2020-10-09,Complaint,Medium,"Resolved, thank you for reaching out.",2020-12-11,True
FDBK00033,7301,Red_27586,Food quality was not as expected.,2021-08-13,Praise,Medium,,2024-11-10,True
FDBK00034,8953,Red_59896,"The service was too slow, please improve.",2020-01-08,Praise,Medium,We are looking into this issue.,2024-08-20,False
FDBK00035,8550,Outback_66945,Loved the ambiance and the staff were friendly.,2023-09-02,Other,Low,,2023-09-02,False
FDBK00036,8852,P.F._32323,"Exceptional experience, highly recommend!",2022-08-31,Complaint,Medium,,2022-08-31,False
FDBK00037,2746,Buffalo_80014,"The service was too slow, please improve.",2024-09-29,Other,Low,Thank you for your feedback.,2024-09-29,False
FDBK00038,8438,Outback_55665,Loved the ambiance and the staff were friendly.,2022-02-28,Suggestion,Low,Thank you for your feedback.,2022-03-23,False
FDBK00039,5874,Olive_9371,"The service was too slow, please improve.",2023-01-17,Complaint,Medium,,2023-01-17,False
FDBK00040,5521,P.F._15663,Food quality was not as expected.,2023-06-20,Suggestion,Medium,Thank you for your feedback.,2023-06-20,True
FDBK00041,6977,Panera_68568,Loved the ambiance and the staff were friendly.,2022-09-16,Complaint,High,Thank you for your feedback.,2022-09-16,False
FDBK00042,11740,Olive_85241,Loved the ambiance and the staff were friendly.,2020-12-07,Other,Medium,"Resolved, thank you for reaching out.",2020-12-07,False
FDBK00043,6362,Panera_70298,"Great service, but room for improvement.",2021-12-07,Inquiry,High,We are looking into this issue.,2022-04-07,False
FDBK00044,4684,The_93630,"Great service, but room for improvement.",2024-05-29,Inquiry,High,,2024-05-29,True
FDBK00045,11911,Panera_46188,Food quality was not as expected.,2020-05-28,Inquiry,Low,"Resolved, thank you for reaching out.",2023-04-23,False
FDBK00046,9114,Buffalo_71984,"Exceptional experience, highly recommend!",2022-07-15,Praise,Low,We are looking into this issue.,2024-11-11,False
FDBK00047,10902,Panera_77848,"Exceptional experience, highly recommend!",2020-07-17,Other,High,We are looking into this issue.,2020-07-17,False
FDBK00048,10171,Texas_85977,"Great service, but room for improvement.",2021-02-11,Suggestion,Medium,We are looking into this issue.,2021-02-11,True
FDBK00049,3287,Red_61036,"Exceptional experience, highly recommend!",2020-11-06,Suggestion,Medium,"Resolved, thank you for reaching out.",2024-12-14,False
FDBK00050,2986,Chipotle_8772,"Exceptional experience, highly recommend!",2020-06-16,Suggestion,Low,,2020-06-26,True
FDBK00051,6294,Chipotle_97292,"Great service, but room for improvement.",2022-12-25,Inquiry,Medium,Thank you for your feedback.,2022-12-25,True
FDBK00052,10471,Chipotle_76142,Food quality was not as expected.,2022-08-29,Complaint,Low,,2023-04-06,False
FDBK00053,3946,Buffalo_39244,"Exceptional experience, highly recommend!",2024-04-03,Praise,Low,We are looking into this issue.,2024-12-03,False
FDBK00054,8632,P.F._14793,Loved the ambiance and the staff were friendly.,2022-07-13,Other,High,,2024-06-26,False
FDBK00055,5486,Outback_12535,Loved the ambiance and the staff were friendly.,2020-02-05,Praise,Low,We are looking into this issue.,2022-08-16,True
FDBK00056,7097,Outback_90195,"Exceptional experience, highly recommend!",2023-10-03,Inquiry,High,"Resolved, thank you for reaching out.",2024-09-09,False
FDBK00057,3535,Panera_26068,Food quality was not as expected.,2021-05-17,Praise,Medium,,2024-10-20,True
FDBK00058,9605,Outback_28975,Loved the ambiance and the staff were friendly.,2023-09-03,Complaint,High,Thank you for your feedback.,2023-09-03,False
FDBK00059,3337,Chipotle_14232,"Exceptional experience, highly recommend!",2022-06-17,Inquiry,Medium,Thank you for your feedback.,2022-06-17,True
FDBK00060,7258,Texas_68617,Food quality was not as expected.,2020-04-15,Inquiry,Low,We are looking into this issue.,2023-03-14,True
FDBK00061,10340,Panera_14858,"The service was too slow, please improve.",2021-07-13,Suggestion,High,,2023-12-02,False
FDBK00062,10874,Chili's_34969,"Great service, but room for improvement.",2023-04-28,Complaint,Medium,,2023-12-30,True
FDBK00063,7511,Chipotle_87622,"Great service, but room for improvement.",2022-12-03,Complaint,Low,"Resolved, thank you for reaching out.",2024-03-03,False
FDBK00064,9861,The_58020,Food quality was not as expected.,2024-08-13,Suggestion,Medium,Thank you for your feedback.,2024-08-13,False
FDBK00065,3804,P.F._64173,"The service was too slow, please improve.",2024-09-25,Praise,Low,"Resolved, thank you for reaching out.",2024-09-25,True
FDBK00066,2698,Outback_76465,"Exceptional experience, highly recommend!",2024-11-15,Complaint,Medium,,2024-11-15,False
FDBK00067,5113,The_25030,"Great service, but room for improvement.",2020-05-30,Praise,Medium,Thank you for your feedback.,2023-12-01,False
FDBK00068,11590,Chipotle_49072,Loved the ambiance and the staff were friendly.,2024-09-30,Suggestion,Medium,,2024-09-30,False
FDBK00069,2875,Panera_10408,Loved the ambiance and the staff were friendly.,2023-11-21,Suggestion,Low,"Resolved, thank you for reaching out.",2023-11-21,True
FDBK00070,6672,Panera_32138,"Exceptional experience, highly recommend!",2020-10-08,Complaint,High,We are looking into this issue.,2023-03-24,True
FDBK00071,6874,Chili's_16589,"Great service, but room for improvement.",2020-01-03,Other,High,,2021-08-28,True
FDBK00072,8749,Red_68166,"The service was too slow, please improve.",2023-06-06,Inquiry,High,"Resolved, thank you for reaching out.",2023-06-06,False
FDBK00073,5337,The_17700,Food quality was not as expected.,2022-12-19,Other,High,We are looking into this issue.,2022-12-19,False
FDBK00074,5938,Outback_60275,Loved the ambiance and the staff were friendly.,2023-02-02,Complaint,Medium,,2023-02-02,True
FDBK00075,2647,The_10220,"Great service, but room for improvement.",2022-12-15,Inquiry,Medium,We are looking into this issue.,2024-05-07,False
FDBK00076,3243,Chili's_34359,Food quality was not as expected.,2022-11-30,Other,High,Thank you for your feedback.,2022-11-30,True
FDBK00077,6673,The_37610,"Great service, but room for improvement.",2021-07-15,Other,Low,,2021-07-15,True
FDBK00078,6515,Olive_55411,"The service was too slow, please improve.",2022-03-07,Complaint,High,,2022-03-07,True
FDBK00079,3649,Chili's_87789,Food quality was not as expected.,2022-11-25,Suggestion,Medium,Thank you for your feedback.,2022-11-25,False
FDBK00080,9875,Panera_54098,"Exceptional experience, highly recommend!",2023-06-24,Other,Medium,,2023-06-24,True
FDBK00081,4531,Olive_66251,"Exceptional experience, highly recommend!",2021-12-02,Inquiry,Medium,"Resolved, thank you for reaching out.",2021-12-02,False
FDBK00082,9244,Texas_26937,"Exceptional experience, highly recommend!",2023-05-29,Praise,High,,2023-08-02,False
FDBK00083,2723,Chili's_95129,"Exceptional experience, highly recommend!",2022-01-23,Complaint,Medium,We are looking into this issue.,2024-02-13,False
FDBK00084,10634,Chipotle_74792,"Exceptional experience, highly recommend!",2020-03-23,Other,Low,We are looking into this issue.,2021-09-12,False
FDBK00085,11050,P.F._99163,Loved the ambiance and the staff were friendly.,2021-08-14,Inquiry,Medium,Thank you for your feedback.,2021-08-14,True
FDBK00086,8891,Chili's_44949,Loved the ambiance and the staff were friendly.,2020-07-24,Suggestion,Medium,"Resolved, thank you for reaching out.",2024-01-01,True
FDBK00087,9850,The_19370,Food quality was not as expected.,2023-04-07,Other,Medium,We are looking into this issue.,2023-04-07,False
FDBK00088,7491,The_2460,"The service was too slow, please improve.",2023-10-22,Suggestion,Low,,2023-10-22,True
